Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
A Girl of Many Colors	13	11	5	12	5	7	8	4	3	22	7	15	5	60	20	18	2	6	22	26	0	8	16	13	248	18	0	13	15	24	7	19	7	17	2	10	3	0	5	12	2	6	4	19	6	2	32	17	13	1	2	8	10	47	17	53	1	11	19	22	6	0	7	1	10	32	2	11	7	8	3	9	107	2	0	2	21	17	15	16	170	6	2	39	16	6	17	3	9	82	10	24	9	31	14	15	4	10	3	0	0	34	9	11	0	0	7	7	15	14	6	0	31	5	20	17	8	19	20	17	5	26	16	3	16	7	10	5	10	21	6	18	14	9	11	193	13	16	7	19	39	19	0	7	2	0	14	10	0	34	4	20	5	3	29	28	13	3	9	6	86	3	9	9	18	19	10	3	12	11	8	29	27	124	1	0	3	9	20	108	5	22	1	16	6	19	16	21	3	4	4	5	3	7	38	14	18	7	2	2	10	4	24	6	3	11	13	7	3	19	13	5	3	13	1	14	8	16	0	9	29	4	25	5	4	27	11	4	3	2	18	21	18	6	17	8	15	139	13	19	262	11	3	41	8	1	9	6	8	28	12	15	2	3	18	5	12	4	14	7	0	1	10	9	8	17	8	23	3	11	10	3	16	18	122	1	163	7	30	3	19	17	10	11	24	5	11	6	10	18	10	29	29	3	7	20	12	5	2	0	3	36	1	74	10	10	144	7	3	22	0	1	5	27	20	31	4	4	3	15	62	0	8	8	16	25	0	174	106	12	17	13	3	39	34	14	16	21	16	1	1	2	19	18	12	0	8	1	183	29	11	6	32	17	75	8	1	16	6	91	0	6	6	6	8	8	23	14	40	4	3	6	5	2	10	0	1	6	5	0	102	1	14	6	16	4	26	18	32	2	2	15	5	20	6	21	3	12	8	8	16	77	5	56	14	5	52	14	17	7	15	9	4	3	0	31	8	28	0	4	7	14	15	6	0	1	8	22	0	124	14	14	2	14	11	9	14	5	0	3	0	13	31	3	7	2	6	19	0	104	0	5	4	5	13	17	9	7	4	9	2	1	31	3	14	12	18	34	24	3	8	8	6	6	11	29	18	15	11	2	8	0	7	9	7	211	11	11	43	14	5	26	22	8	56	35	7	14	0	9
seriouslymere	5	3	5	3	8	9	9	0	7	6	13	5	2	4	9	2	2	7	8	0	1	4	2	17	1	12	0	15	5	5	1	3	3	21	6	12	2	0	5	3	3	1	1	4	7	4	0	3	0	3	2	6	9	18	1	26	2	13	5	10	10	4	1	14	3	8	1	10	0	29	9	2	3	3	1	1	5	7	6	6	1	2	0	13	10	1	8	12	5	14	14	37	1	12	0	0	1	5	6	0	3	23	4	2	17	24	7	2	6	1	2	0	4	5	1	7	4	6	32	13	4	19	4	2	21	3	2	2	0	7	0	4	8	1	1	2	6	0	3	17	13	5	1	1	5	0	15	10	1	4	0	14	7	3	1	26	3	7	5	6	6	3	16	11	3	19	7	1	1	6	9	10	0	23	1	2	9	1	7	13	4	0	2	14	6	8	11	6	4	5	9	0	1	3	5	2	0	1	0	6	4	0	1	3	0	8	3	3	0	6	11	5	1	22	3	9	2	15	0	10	2	7	12	2	0	0	2	2	6	7	0	2	3	3	17	8	4	6	7	2	5	3	7	5	3	2	4	1	18	15	12	2	1	0	12	0	11	0	8	2	0	1	10	7	9	9	10	2	10	21	2	0	10	3	6	1	3	8	7	0	8	11	2	8	2	0	2	0	3	6	1	4	9	9	2	17	5	6	3	0	14	5	0	11	2	1	5	1	3	4	0	1	9	27	1	2	1	0	0	22	0	0	8	4	8	1	17	4	3	6	15	4	0	3	1	21	10	18	2	1	3	1	5	8	10	1	10	1	2	11	18	10	1	5	13	12	3	7	12	1	0	2	8	10	10	6	5	5	0	2	12	2	4	1	5	0	1	3	6	1	0	4	2	6	3	5	5	8	0	1	5	4	7	8	3	3	12	6	0	6	8	3	2	76	14	5	9	2	10	2	1	0	5	5	0	0	6	2	2	1	11	6	65	0	3	3	13	56	1	7	17	9	7	5	3	4	9	3	0	1	7	4	0	1	4	1	11	4	2	3	27	5	12	4	20	13	26	2	5	6	4	4	4	11	13	0	15	14	21	1	3	2	17	4	5	11	7	3	1	16	0	0	1	12	5	5	8	0	12	13	0	2	3	5	0	1	5	9	10	1
The Justin and Kristina Hargrave Family	0	1	1	0	13	0	0	2	0	0	0	0	0	8	1	0	0	0	1	5	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	5	13	1	1	0	2	0	0	0	0	1	0	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	3	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	9	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	4	0	0	0	0	0	1	1	0	2	6	0	0	0	0	1	0	0	0	0	145	3	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	20	0	1	0	7	1	0	1	2	0	0	0	2	0	1	0	0	2	0	0	1	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	1	0	0	2	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	2	1	0	0	1	0	0	1	2	5	0	0	0	1	0	2	0	0	0	0	1	0	0
B a b y   F a v o r i t e	2	1	0	1	1	1	1	1	1	3	0	0	3	6	1	0	0	0	7	12	1	2	1	0	2	0	0	4	2	0	1	1	1	3	7	4	0	0	0	0	0	2	6	2	0	5	1	2	6	0	0	2	10	0	0	0	0	0	2	0	0	44	1	1	1	4	3	3	1	0	1	3	1	0	0	0	3	0	3	0	1	1	2	3	4	1	4	7	0	11	6	2	1	1	3	0	0	8	0	0	0	7	0	0	0	0	1	4	12	2	0	0	2	1	1	0	0	0	0	0	0	2	7	8	3	2	0	3	0	1	0	0	0	10	1	1	2	1	4	2	0	4	2	14	3	0	0	3	2	3	0	2	3	2	5	0	2	0	1	2	2	0	3	8	3	2	1	0	6	4	8	0	0	3	0	0	7	10	6	1	1	0	1	8	2	1	1	8	4	0	6	8	1	2	3	7	3	7	0	4	9	5	1	1	1	5	1	4	2	0	4	0	4	1	0	4	23	7	0	1	3	1	4	3	2	3	1	2	29	4	3	1	3	1	2	1	0	0	4	2	0	3	3	0	1	4	1	1	4	1	0	0	0	0	0	2	1	0	0	2	0	0	4	0	1	4	1	4	3	0	10	0	1	0	1	1	1	0	0	1	0	1	1	3	1	0	5	3	2	5	0	5	1	1	4	1	0	4	5	0	0	1	0	2	0	3	0	10	0	1	0	0	0	1	1	2	0	1	5	4	3	0	3	1	0	0	0	1	2	2	2	2	0	0	8	2	1	0	0	0	1	0	6	1	2	7	0	1	29	1	0	1	8	4	2	2	4	8	9	1	1	0	0	0	2	2	1	3	2	0	5	1	10	0	0	0	1	0	1	0	0	0	1	1	6	2	3	1	0	2	1	1	1	3	2	3	0	2	1	0	0	3	0	5	2	0	1	2	4	7	3	0	0	3	3	5	1	2	0	0	0	1	2	0	0	1	0	5	2	2	2	4	1	0	2	1	1	0	0	0	1	2	10	0	0	0	3	2	0	0	0	2	2	0	5	3	0	1	1	3	0	0	1	0	0	0	2	3	9	6	3	1	7	3	7	12	1	0	0	0	0	0	0	0	0	1	2	0	0	2	7	1	3	2	6	1	3	3	0	2
Kaleo's Music Boom Box: Your # 1 Source For Everything Music	0	1	0	2	0	3	21	1	1	1	0	0	0	0	0	67	1	0	0	0	1	0	1	2	1	1	0	1	0	0	0	5	2	1	0	3	5	0	0	12	0	0	0	1	7	0	0	1	0	1	0	2	0	0	3	1	14	1	3	0	1	0	0	0	1	0	2	5	1	2	0	0	5	0	0	5	0	0	0	0	6	3	0	0	2	0	1	0	0	0	1	0	3	19	0	0	0	11	0	0	0	0	10	9	0	0	0	0	1	0	0	0	1	1	1	0	2	6	4	0	2	7	0	2	4	1	1	0	16	0	0	3	0	0	0	4	0	1	1	0	1	4	0	0	2	2	1	1	0	1	3	4	0	0	0	162	2	6	2	0	9	0	4	0	0	0	4	10	0	0	0	0	3	0	0	0	0	0	0	0	3	0	6	2	1	14	0	0	1	1	1	0	4	0	2	0	0	3	0	0	1	0	0	1	0	0	37	0	0	9	1	1	0	0	1	2	0	2	0	2	0	11	2	1	2	3	0	1	1	1	0	0	0	0	0	1	1	0	2	0	7	1	0	1	0	0	2	1	0	6	0	2	0	2	0	2	0	1	2	7	0	3	2	0	0	1	1	0	0	0	11	7	4	0	9	15	0	0	3	1	10	0	3	0	0	0	0	5	1	2	1	0	1	57	4	1	0	1	0	3	5	4	2	0	0	1	0	1	1	1	0	25	2	0	1	5	2	60	0	0	9	0	0	1	2	1	0	0	0	4	1	1	0	1	1	0	29	0	1	1	0	0	0	3	0	1	1	0	1	9	2	0	2	1	0	1	1	0	1	1	0	2	0	0	0	0	39	1	1	0	0	0	2	4	1	1	7	1	3	0	0	16	0	2	0	0	0	0	3	3	0	2	1	1	2	1	0	0	1	2	1	0	1	0	3	0	1	12	1	0	0	1	45	0	7	1	0	3	4	1	0	1	0	0	0	11	5	1	1	19	0	0	3	0	1	0	41	0	15	1	4	6	1	2	0	17	0	0	0	1	1	0	0	0	9	2	81	1	0	0	6	28	0	1	10	1	0	1	6	2	5	3	6	3	0	1	1	1	0	0	0	0	0	0	0	1	12	3	0	1	0	1	0	12	0	0	1	0	0	0
Lucy Blues	1	4	8	3	0	5	3	6	1	5	6	1	0	0	5	5	1	0	43	0	0	3	5	0	2	3	2	0	1	3	1	3	1	2	5	3	0	0	0	0	0	0	12	1	2	2	1	6	1	5	1	1	9	11	2	4	0	0	1	3	3	2	0	2	4	9	0	7	3	0	4	1	4	1	1	1	3	3	9	1	2	6	9	9	0	4	3	8	4	2	3	0	4	0	4	2	0	4	1	0	0	0	1	0	8	1	4	0	0	9	1	0	4	1	18	1	0	5	1	6	1	0	0	1	0	8	4	0	5	4	4	0	2	4	7	0	3	3	0	1	0	0	1	1	0	0	3	0	5	3	0	3	8	8	1	4	2	1	2	2	16	0	11	19	9	0	2	3	1	1	3	2	0	0	0	0	2	0	3	0	0	0	1	2	5	2	1	0	0	0	0	7	1	1	6	2	4	8	0	7	5	1	19	4	2	0	2	15	1	6	1	1	9	7	5	1	0	2	0	7	2	2	5	3	3	7	2	4	5	2	16	0	7	4	3	4	3	2	3	2	5	3	7	6	1	2	10	2	2	2	1	3	3	1	2	1	9	1	2	0	0	1	0	5	1	1	0	2	5	0	0	0	20	1	5	3	6	5	1	0	13	2	0	0	1	5	6	0	2	7	0	3	6	2	11	3	2	2	3	0	0	0	1	1	4	1	1	0	1	5	0	0	1	2	29	1	1	0	1	2	1	1	1	3	2	3	2	8	1	11	0	2	0	0	6	2	1	2	2	1	2	4	28	1	0	5	3	0	1	0	1	5	3	5	8	4	0	3	1	2	20	2	1	1	7	0	0	4	2	2	0	2	0	1	0	0	1	2	0	1	0	1	1	0	9	2	3	0	0	6	0	8	2	6	3	0	8	2	0	6	1	4	2	4	4	1	0	5	4	2	12	0	0	0	4	10	2	0	0	2	3	1	2	4	2	0	0	3	1	9	0	3	2	6	2	4	3	1	0	0	6	1	0	0	2	0	4	1	0	7	2	3	5	0	6	4	0	2	1	4	1	0	3	4	5	2	3	0	1	3	1	2	4	1	1	3	3	3	2	0	0	0	1	2	13	2	0	0	0	0	2	1	3	12	0	0	4	3	0	1
Mortensen Baby Farm	1	1	1	0	10	2	0	0	0	0	0	0	2	6	0	1	0	0	2	2	0	1	0	0	0	0	1	1	1	0	0	1	0	1	2	1	0	0	0	0	3	8	5	1	1	2	1	4	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	3	0	5	0	1	3	0	5	0	0	2	13	1	1	0	0	1	0	0	2	1	3	0	2	0	0	0	6	1	0	0	0	1	0	0	0	5	2	0	4	4	13	11	0	0	0	0	0	5	0	0	0	2	1	0	2	0	3	0	0	0	4	0	5	0	0	11	1	0	3	5	1	8	1	0	40	0	0	0	0	4	1	4	1	0	0	2	0	1	0	3	0	1	5	25	5	0	3	0	2	1	2	2	2	11	1	5	1	0	0	0	0	2	0	2	0	0	2	0	3	1	2	0	0	0	2	0	0	1	4	0	0	0	0	3	46	1	5	0	4	0	2	0	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	1	3	1	2	0	2	0	2	0	1	0	4	1	1	1	0	0	2	3	0	1	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	2	4	0	2	0	1	0	3	0	2	0	0	0	0	1	1	1	0	3	10	3	2	4	0	0	0	0	0	3	2	0	0	2	3	0	0	0	0	0	0	1	5	0	0	0	0	2	0	1	0	0	1	1	2	1	0	0	9	0	0	2	1	0	0	1	2	2	1	1	0	0	4	0	3	2	44	0	0	0	13	3	0	2	1	4	1	0	1	3	5	0	0	0	0	2	0	2	1	0	3	2	4	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	3	3	1	0	1	0	0	1	1	5	0	0	0	0	0	0	0	0	1	0	9	0	0	0	6	0	0	0	0	0	0	0	0	9	0	0	2	0	1	0	1	1	3	0	0	0	0	0	0	0	3	1	6	7	0	3	0	17	1	0	0	0	3	5	0	1	1	0	1	3	4	0	0	0	4	0	0	12	0	0	1	9	0	3	3	0	3	3	1	0	0	0	95	1	0	0	1	0	0	1	0	1	1	2	3	0	0	2	1	0	0
Storyweavers Knapsack	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	5	2	0	1	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	7	6	2	0	2	0	0	4	0	0	3	3	2	2	1	0	0	1	1	4	0	0	0	0	4	0	3	0	0	1	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	2	2	1	10	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	2	4	2	2	0	5	0	0	1	0	0	0	0	3	0	2	3	1	1	1	0	0	0	1	0	6	0	0	1	3	0	1	3	3	3	0	0	1	0	1	6	8	1	2	2	0	0	1	0	0	1	10	1	0	2	4	2	1	1	0	1	1	0	1	1	0	2	0	1	3	1	1	1	1	2	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	2	0	2	1	1	0	0	1	0	0	0	8	0	0	0	1	2	3	0	1	0	1	0	0	1	1	2	2	0	0	0	0	0	0	0	7	0	1	0	0	1	0	3	2	0	0	1	1	0	1	1	2	1	4	1	1	2	1	0	1	0	0	1	0	1	1	0	2	2	2	0	0	0	0	2	0	0	1	0	2	4	0	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	4	0	0	0	0	0	1	1	0	1	2	1	5	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	1	2	1	3	1	0	0	0	2	0	1	0	0	1	2	1	17	2	1	0	0	0	1	1	0	1	1	1	3	1	0	2	1	0	5	1	0	0	0	0	1	3	2	0	1	0	0	0	0	0	0	1	3	3	2	1	0	0	4	1	1	84	0	0	1	1	0	0	0	0	0	0	1	0	9	0	0	7	0	0	0	0	0	1	0	2	0	0	3	0	7	0	0	0	1	0	1	0	3	0	0	2	0	0	2	1	0	0	3	0	0	0	0	0	2	0	1	1	0	5	1	3	1	0	5	1	0	0	1	0	0
MDS Images	62	1	9	6	0	1	87	3	5	10	2	0	2	3	2	30	10	0	2	0	3	2	2	12	0	0	0	3	5	6	0	32	38	8	10	8	0	0	2	0	0	2	4	2	9	0	1	0	6	1	4	11	54	5	12	5	4	7	4	1	10	3	0	4	4	5	165	3	2	5	32	3	5	0	0	2	1	0	1	8	4	9	0	6	2	9	2	2	3	2	2	4	10	1	3	0	3	6	0	27	0	2	3	3	14	5	6	1	0	0	12	0	0	6	2	0	1	16	14	64	2	0	3	24	3	2	33	1	0	11	1	30	1	13	2	10	3	29	2	3	9	0	0	0	0	0	3	8	15	6	0	57	0	4	2	2	1	0	9	2	60	0	3	38	0	3	3	3	4	1	2	7	0	2	0	2	2	1	7	0	3	0	0	2	4	1	3	1	4	4	0	0	2	4	2	1	3	3	0	2	2	0	2	13	5	0	4	10	6	39	3	4	0	5	2	3	6	5	0	9	5	10	17	11	6	3	2	0	6	6	2	1	2	4	7	1	2	1	15	0	0	1	0	1	13	1	7	1	1	1	3	1	1	4	0	354	11	0	0	3	355	12	3	2	7	1	11	1	0	7	4	0	24	0	2	4	9	0	1	2	9	13	5	1	4	19	6	10	3	0	0	2	38	5	1	3	204	3	0	2	0	24	9	43	0	0	3	0	3	1	5	16	3	68	3	61	1	0	3	7	51	0	9	3	184	4	2	2	2	6	34	7	0	9	1	14	0	1	3	1	0	1	1	9	1	11	38	0	2	6	3	5	5	8	5	14	8	1	0	4	5	26	8	0	2	10	4	1	0	10	1	24	0	1	0	0	2	6	0	1	0	1	2	7	5	3	6	6	0	38	8	2	5	9	4	5	5	0	1	0	3	0	2	4	19	3	5	2	1	7	18	5	35	0	6	13	5	0	1	0	8	7	16	1	15	2	6	3	16	1	1	2	0	6	4	22	1	2	0	13	0	3	0	39	3	1	3	2	0	1	8	2	3	44	1	4	4	22	0	5	0	3	4	1	23	8	0	33	0	0	0	18	3	5	14	5	2	6	2	5	0	0	2	1	2	1	0	68	3	9	5	0	8	30	0	0	6	4	0	0
night is half gone...	0	3	0	1	1	0	0	1	2	3	0	0	1	4	1	1	1	0	2	8	0	1	8	0	5	0	0	0	3	0	0	0	3	4	1	3	1	0	1	1	3	6	4	2	0	13	0	6	2	5	2	3	0	3	1	12	1	5	1	0	0	5	1	0	2	0	5	0	4	0	0	2	2	0	0	0	0	2	0	4	0	1	1	0	0	1	1	3	0	7	8	1	1	3	0	1	3	4	1	1	0	2	4	1	2	0	0	4	2	0	2	1	0	2	5	2	1	5	1	0	1	6	0	1	2	0	0	1	2	0	0	1	3	1	1	1	0	0	0	0	1	2	0	14	2	0	0	1	0	0	0	0	2	0	0	2	1	0	2	1	0	0	1	2	4	1	0	0	1	2	3	0	0	0	1	0	9	3	0	2	4	0	0	1	4	3	0	0	1	1	1	3	0	5	0	4	1	2	0	1	0	1	1	1	0	4	1	0	2	1	1	1	8	0	0	3	1	2	0	0	0	0	3	0	0	2	1	0	0	0	1	1	0	1	1	3	0	0	2	1	2	3	2	0	1	3	0	0	11	7	2	1	1	0	1	1	8	0	4	0	0	0	1	1	2	0	2	1	0	2	1	0	3	1	0	1	2	3	0	0	3	0	3	1	16	2	1	0	3	1	9	4	1	1	0	0	1	4	6	3	2	0	0	2	0	1	2	1	0	0	2	3	2	2	0	0	2	1	1	1	0	1	1	2	3	0	1	0	1	0	2	2	6	8	0	0	2	1	1	1	2	2	2	0	0	13	2	0	0	0	0	0	0	0	0	2	8	6	3	0	4	0	1	4	1	1	0	2	1	1	1	1	1	4	1	0	0	0	0	0	0	2	1	3	4	4	0	3	0	0	0	0	2	1	2	0	1	0	1	2	2	1	0	5	3	0	1	1	0	0	4	0	0	1	6	2	0	1	0	3	2	1	2	5	0	2	3	1	3	1	2	1	2	0	0	0	0	8	0	0	6	0	4	0	3	0	3	1	0	0	80	3	1	1	5	0	0	12	0	3	0	0	0	2	0	2	6	2	0	0	3	10	0	0	0	5	1	0	0	1	0	0	10	4	2	0	3	20	0	1	6	1	1	2	3	0	5	0	1	0
Falling Back	0	0	2	0	14	1	3	2	4	0	1	0	3	3	6	3	1	0	1	9	2	0	1	2	1	0	3	2	1	1	0	1	5	0	1	2	1	0	1	1	6	10	4	1	1	2	0	0	2	4	0	0	0	4	0	1	0	0	0	5	1	2	1	3	0	4	5	3	1	0	1	1	2	3	0	2	0	3	2	1	3	1	0	0	9	0	1	3	2	1	0	4	1	1	4	0	0	3	0	0	0	2	2	0	5	0	2	5	7	2	0	0	2	3	1	1	2	2	5	2	1	1	3	1	6	1	1	2	1	10	0	9	2	2	3	7	0	3	0	2	0	0	0	0	0	0	1	0	2	0	1	2	1	0	2	2	4	1	0	8	5	0	0	1	2	4	0	2	2	2	1	7	0	4	1	0	4	1	5	0	3	0	1	2	1	3	0	3	2	1	2	3	1	0	4	3	4	2	0	4	2	5	3	0	1	2	1	2	4	3	0	1	4	1	0	1	2	2	0	4	1	1	0	3	1	0	3	2	2	0	8	2	0	3	7	0	0	2	0	2	5	3	3	0	2	0	0	3	4	0	6	1	0	1	0	0	11	0	1	0	1	4	4	4	1	2	7	5	1	3	1	1	1	1	2	2	1	7	2	0	9	0	0	3	2	2	2	1	2	4	4	0	3	2	2	1	0	1	0	0	1	4	2	3	9	0	1	3	1	2	0	1	1	1	0	3	0	0	1	2	2	0	16	1	1	0	9	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	4	0	8	0	0	2	33	4	0	3	1	3	1	0	2	0	1	3	0	2	2	2	3	0	2	0	1	7	3	5	1	0	0	0	0	2	10	0	0	0	2	3	3	0	9	2	0	1	4	3	3	5	2	1	1	1	0	6	3	0	1	2	2	1	5	4	4	5	0	0	0	0	1	3	0	0	0	0	1	0	0	0	2	1	0	2	1	1	0	3	1	2	4	1	2	0	0	4	0	0	4	78	1	0	6	3	0	1	7	1	3	0	2	0	0	2	1	3	2	0	0	1	0	4	4	0	3	0	6	1	1	7	2	2	2	4	1	4	0	0	1	0	3	0	1	2	0	1	0	1	3	2	0	0	0	1	0	3
A Sliver of Me	0	0	1	2	0	2	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	2	0	4	0	1	2	3	1	0	0	0	1	0	1	2	0	0	0	0	5	1	0	2	0	0	1	1	0	0	0	1	0	1	0	1	0	9	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	8	1	1	0	1	0	0	6	0	2	0	0	1	2	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	6	0	0	0	1	1	0	3	1	0	0	0	0	1	1	1	0	0	2	1	4	0	0	0	0	0	1	0	1	0	4	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	2	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	3	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	1	0	0	2	0	2	1	0	0	0	2	5	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	6	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	1	0	0	2	1	1	1	0	0	5	14	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	6	0	0	3	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
